TWEET,USER_ID,TWEET_ID,TWT_POST_DT,USER_NM,USER_ACCT,FOLLOWER_CNT,FRIENDS_CNT,LOCATION,ACCT_CREATE_DT,GEO_ENABLED,USER_URL,RETWEET_CNT,COMPSENTIMENT,POSSENTIMENT,NEGSENTIMENT,NEUSENTIMENT,SENTIMENT_OA,POSCNT,NEGCNT,BLOBPOL,BLOBSUB,COORDINATES,VERIFIED_USER,TOTAL POSTS,IS REPLY,REPLY TO,HASHTAGS
"Andrew Yang - mic drop. 

#DemDebate",1134966486,1156727921211346944,08/01/2019 00:46,Tyler Sanders,TylerSanders007,19,285,"Marysville, OH",01/30/2013 19:35,False,,0,-0.2732,0.0,0.344,0.656,Negative,0,1,0.0,0.0,,False,326,,,['DemDebate']
Come on Joe! Delaware is watching you! https://t.co/KzK2dwjzei,1102523053,1156727919429005312,08/01/2019 00:46,Patricia Lee Dooling,doolingpld,105,531,"Newark, Delaware",01/19/2013 01:51,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,8931,,,
"This format is terrible, l’m turning it off",47381082,1156727921387757568,08/01/2019 00:46,Alan,kingman99,18,33,USA,06/15/2009 16:55,False,,0,-0.4767,0.0,0.307,0.693,Negative,0,1,-100.0,100.0,,False,13647,,,
De Blasio thought he was going to get some applause there. #DemDebate,864508486968856576,1156727921572274177,08/01/2019 00:46,The94percent,the94percent,436,867,United States,05/16/2017 15:50,False,http://wearethe94percent.com,0,0.4215,0.203,0.0,0.797,Positive,1,0,0.0,0.0,,False,6722,,,['DemDebate']
"@GovInslee is so incredibly impressive. I don't think he can carry the election, but I will DEMAND that he be made the head of the EPA. His interview with @chrislhayes on why is this happening was phenomenal and inspiring. #DemDebate",251171154,1156727921404334080,08/01/2019 00:46,Nancy,TheNancer212,122,579,,02/12/2011 15:52,False,,0,0.5083,0.139,0.065,0.796,Positive,1,0,66.66666666666666,83.33333333333334,,False,4557,,GovInslee,
My feed just totally skipped over Yang! #DemDebate,253872062,1156727921593028608,08/01/2019 00:46,"Dark, Pscychic Force",RealKiraDavis,24325,1806,"California, USA",02/18/2011 04:05,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,75.0,,True,7526,,,['DemDebate']
The Kammy/Joe/Booker show got interrupted with two of the other 8 people on stage!  #DemDebate,37069805,1156727921526104064,08/01/2019 00:46,Kerry Wallace,kerrywally,39,63,st. louis,05/01/2009 23:04,False,,0,-0.3595,0.0,0.161,0.839,Negative,0,1,-15.625,37.5,,False,978,,,['DemDebate']
Corey Booker is right - the Democratic candidates should not be seen as *'pitting themselves against each other.* There is one common *foe* who continues to destruct America on many fronts. Address those issues! #DemDebate,926065058,1156727921547141120,08/01/2019 00:46,Mary Cooley,JerseyCoolOne,40,41,"New Jersey, USA",11/04/2012 20:12,True,,0,-0.5707,0.0,0.101,0.899,Negative,0,1,12.142857142857142,47.76785714285714,,False,2312,,,
Well @KamalaHarris just blew her chance at the nomination.  People want to keep their union negotiated healthcare.  Public Option will take care of the rest of the people and they know it.  #DemDebate,28908164,1156727921853325312,08/01/2019 00:46,Wanda Hobbs,wkhobbs,408,1982,Metro DC,04/05/2009 00:58,True,,0,0.765,0.229,0.0,0.771,Positive,1,0,0.0,6.666666666666667,,False,18768,,,
The stuff I wanna tweet... But can't #DemDebate2 https://t.co/w8UqVxvExE,454463567,1156727920620122112,08/01/2019 00:46,Bam Bam,QueRatio,89,589,Washington D.C.,01/04/2012 01:11,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,1733,,,['DemDebate2']
"Please talk about the flaming, blatant, always sickening, oh-my-god-how, WTF is wrong with you racism of this racist president and in this WH. NOW! NOW! NOW! #DemDebate2",528621727,1156727924441145345,08/01/2019 00:46,Patience Bloom,patiencebloom,2959,997,New York,03/18/2012 15:53,True,http://romanceismydayjob.wordpress.com,0,-0.9623,0.053,0.462,0.485,Negative,0,1,-71.9140625,85.0,,False,5455,,,
"Oh yeah. This is happening.
#DemDebate2 https://t.co/lMlVpJOk5C",440853338,1156727923799449601,08/01/2019 00:46,Leslie,grouchyhugz,3600,2566,North Carolina,12/19/2011 13:47,True,http://grouchyhugz.com,0,0.296,0.268,0.0,0.732,Positive,1,0,0.0,0.0,,False,28912,,,['DemDebate2']
"Fact check: @JoeBiden is not a ""Senator."" #DemDebate",734768872625188864,1156727924667670528,08/01/2019 00:46,Andrew Bates,AndrewBatesNC,4611,2183,"Washington, DC",05/23/2016 15:32,False,https://joebiden.com,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,1278,,,['DemDebate']
"America's economy has added 47,000 auto manufacturing jobs since President Trump was elected. #PromisesMadePromisesKept #DemDebate",24677438,1156727924612972544,08/01/2019 00:46,OCONUS LURES shadowbanned,raphaellaN,3756,2619,"San Francisco, CA",03/16/2009 11:22,False,http://gab.ai/deplorablecasey,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,272343,,,
Jay Inslee first to bring up Mental Health tonight #CripTheVote #DemDebate,3771135732,1156727925082750976,08/01/2019 00:46,Invisible Disability Project,EndInvisibility,1714,561,,10/03/2015 15:12,False,http://www.invisibledisabilityproject.org,0,0.0,0.0,0.0,1.0,Neutral,0,0,7.5,26.666666666666668,,False,2791,,,"['CripTheVote', 'DemDebate']"
Can deblasio do something bold and leave? #DemDebate2,100697640,1156727925162557440,08/01/2019 00:46,B,MissMySnicka,366,389,USA (for now),12/31/2009 06:05,False,,0,0.34,0.265,0.122,0.612,Positive,1,0,33.33333333333333,66.66666666666666,,False,164273,,,['DemDebate2']
"Yang looks and sounds like an entrepreneur, rather than a President. Does he know this is a presidential debate? #DemDebate",2531747291,1156727925321998338,08/01/2019 00:46,Middle American,MiddleAmericaMe,1455,196,"Oklahoma City, OK",05/05/2014 20:53,False,,0,0.3612,0.128,0.0,0.872,Positive,1,0,0.0,0.0,,False,19567,,,['DemDebate']
#DemDebate @JoeBiden go get her .. don’t back down.,801624638,1156727925263093760,08/01/2019 00:46,frankie4fingers,frankyxg,38,190,"San Diego, CA",09/04/2012 02:02,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,-7.7777777777777795,14.444444444444446,,False,1267,,,['DemDebate']
